News Pull,2022-10-08 10:00:19.000,2022-10-08 10:00:25.000
NewsDriver.ps1,2022-10-08 11:00:10.000,2022-10-08 11:00:29.000
News Pull,2022-10-08 11:00:11.000,2022-10-08 11:00:29.000
NewsDriver.ps1,2022-10-08 12:00:17.000,2022-10-08 12:00:26.000
News Pull,2022-10-08 12:00:18.000,2022-10-08 12:00:25.000
NewsDriver.ps1,2022-10-08 13:00:04.000,2022-10-08 13:00:10.000
News Pull,2022-10-08 13:00:05.000,2022-10-08 13:00:09.000
NewsDriver.ps1,2022-10-08 14:00:18.000,2022-10-08 14:00:25.000
News Pull,2022-10-08 14:00:19.000,2022-10-08 14:00:25.000
NewsDriver.ps1,2022-10-08 15:00:20.000,2022-10-08 15:00:27.000
News Pull,2022-10-08 15:00:21.000,2022-10-08 15:00:27.000
NewsDriver.ps1,2022-10-08 15:14:50.000,2022-10-08 15:14:57.000
News Pull,2022-10-08 15:14:50.000,2022-10-08 15:14:57.000
NewsDriver.ps1,2022-10-08 16:00:09.000,2022-10-08 16:00:26.000
News Pull,2022-10-08 16:00:10.000,2022-10-08 16:00:26.000
NewsDriver.ps1,2022-10-08 17:00:23.000,2022-10-08 17:00:34.000
News Pull,2022-10-08 17:00:25.000,2022-10-08 17:00:34.000
NewsDriver.ps1,2022-10-08 18:00:06.000,2022-10-08 18:00:29.000
News Pull,2022-10-08 18:00:07.000,2022-10-08 18:00:29.000
NewsDriver.ps1,2022-10-08 19:00:22.000,2022-10-08 19:00:32.000
News Pull,2022-10-08 19:00:24.000,2022-10-08 19:00:32.000
NewsDriver.ps1,2022-10-08 20:00:26.000,2022-10-08 20:00:40.000
News Pull,2022-10-08 20:00:27.000,2022-10-08 20:00:40.000
RubyDriver.ps1,2022-10-08 20:30:17.000,2022-10-08 20:32:05.000
Full Pull,2022-10-08 20:30:23.000,2022-10-08 20:32:05.000
GetPersonnelPics.ps1,2022-10-08 21:30:03.000,2022-10-08 21:30:13.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-08 23:00:21.000,2022-10-09 00:09:27.000
RubyDriver.ps1,2022-10-09 00:45:03.000,2022-10-09 00:46:58.000
Full Pull,2022-10-09 00:45:09.000,2022-10-09 00:46:58.000
RubyDriver.ps1,2022-10-09 00:51:56.000,2022-10-09 01:01:51.000
Full Pull,2022-10-09 00:51:58.000,2022-10-09 01:01:51.000
RubyDriver.ps1,2022-10-09 01:53:07.000,2022-10-09 02:06:16.000
Full Pull,2022-10-09 01:53:09.000,2022-10-09 02:06:16.000
RubyDriver.ps1,2022-10-09 01:59:41.000,2022-10-09 02:06:16.000
Full Pull,2022-10-09 01:59:43.000,2022-10-09 02:06:16.000
NewsDriver.ps1,2022-10-09 06:00:03.000,2022-10-09 06:00:18.000
News Pull,2022-10-09 06:00:04.000,2022-10-09 06:00:17.000
MarketCap.ps1,2022-10-09 06:00:23.000,NULL
NewsDriver.ps1,2022-10-09 07:00:24.000,2022-10-09 07:01:08.000
News Pull,2022-10-09 07:00:42.000,2022-10-09 07:01:08.000
NewsDriver.ps1,2022-10-09 07:49:24.000,2022-10-09 07:49:31.000
News Pull,2022-10-09 07:49:25.000,2022-10-09 07:49:31.000
RubyDriver.ps1,2022-10-09 07:57:30.000,2022-10-09 08:02:41.000
Full Pull,2022-10-09 07:57:32.000,2022-10-09 08:02:41.000
NewsDriver.ps1,2022-10-09 08:05:10.000,2022-10-09 08:05:18.000
News Pull,2022-10-09 08:05:11.000,2022-10-09 08:05:18.000
NewsDriver.ps1,2022-10-09 09:00:17.000,2022-10-09 09:00:34.000
News Pull,2022-10-09 09:00:18.000,2022-10-09 09:00:34.000
RubyDriver.ps1,2022-10-09 09:10:40.000,2022-10-09 09:16:52.000
Full Pull,2022-10-09 09:10:41.000,2022-10-09 09:16:52.000
RubyDriver.ps1,2022-10-09 09:40:30.000,2022-10-09 09:44:38.000
Full Pull,2022-10-09 09:40:32.000,2022-10-09 09:44:38.000
RubyDriver.ps1,2022-10-09 09:41:16.000,2022-10-09 09:44:38.000
Full Pull,2022-10-09 09:41:18.000,2022-10-09 09:44:38.000
NewsDriver.ps1,2022-10-09 09:59:01.000,2022-10-09 09:59:08.000
News Pull,2022-10-09 09:59:01.000,2022-10-09 09:59:08.000
NewsDriver.ps1,2022-10-09 10:00:31.000,2022-10-09 10:00:41.000
News Pull,2022-10-09 10:00:33.000,2022-10-09 10:00:41.000
NewsDriver.ps1,2022-10-09 11:00:04.000,2022-10-09 11:00:23.000
News Pull,2022-10-09 11:00:05.000,2022-10-09 11:00:23.000
NewsDriver.ps1,2022-10-09 12:00:04.000,2022-10-09 12:00:22.000
News Pull,2022-10-09 12:00:05.000,2022-10-09 12:00:22.000
NewsDriver.ps1,2022-10-09 13:00:05.000,2022-10-09 13:00:15.000
News Pull,2022-10-09 13:00:06.000,2022-10-09 13:00:15.000
NewsDriver.ps1,2022-10-09 14:00:27.000,2022-10-09 14:00:44.000
News Pull,2022-10-09 14:00:28.000,2022-10-09 14:00:44.000
NewsDriver.ps1,2022-10-09 15:00:10.000,2022-10-09 15:00:36.000
News Pull,2022-10-09 15:00:12.000,2022-10-09 15:00:36.000
NewsDriver.ps1,2022-10-09 16:00:12.000,2022-10-09 16:00:26.000
News Pull,2022-10-09 16:00:13.000,2022-10-09 16:00:26.000
NewsDriver.ps1,2022-10-09 17:05:10.000,2022-10-09 17:05:17.000
News Pull,2022-10-09 17:05:10.000,2022-10-09 17:05:17.000
NewsDriver.ps1,2022-10-09 18:00:24.000,2022-10-09 18:00:39.000
News Pull,2022-10-09 18:00:26.000,2022-10-09 18:00:39.000
NewsDriver.ps1,2022-10-09 19:00:22.000,2022-10-09 19:00:34.000
News Pull,2022-10-09 19:00:24.000,2022-10-09 19:00:34.000
NewsDriver.ps1,2022-10-09 20:00:23.000,2022-10-09 20:00:37.000
News Pull,2022-10-09 20:00:26.000,2022-10-09 20:00:37.000
GetPersonnelPics.ps1,2022-10-09 21:30:02.000,2022-10-09 21:30:17.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-09 23:00:15.000,2022-10-10 07:29:52.000
NewsDriver.ps1,2022-10-10 06:00:39.000,2022-10-10 06:00:55.000
News Pull,2022-10-10 06:00:40.000,2022-10-10 06:00:55.000
\Scheduled\Foundation\FoundationSync.ps1,2022-10-10 06:20:15.000,2022-10-10 07:29:52.000
NewsDriver.ps1,2022-10-10 07:00:05.000,2022-10-10 07:00:13.000
News Pull,2022-10-10 07:00:05.000,2022-10-10 07:00:13.000
NewsDriver.ps1,2022-10-10 08:00:24.000,2022-10-10 08:00:33.000
News Pull,2022-10-10 08:00:25.000,2022-10-10 08:00:33.000
NewsDriver.ps1,2022-10-10 09:00:15.000,2022-10-10 09:00:23.000
